tool,field,severity,site_value,upstream_value,upstream_url,last_verified,why_it_matters,concrete_fix
OVH Region Map,Local Zones exclusion,OK,"31 Local Zones excluded, 14-region set","correct policy",https://www.ovhcloud.com/en/about-us/global-infrastructure/local-zone/,2026-05-16,"Excluding Local Zones is the right call","None"
Apigee Atlas,pricing tiers,P1,"Standard / Enterprise / Enterprise Plus / Enterprise Plus Plus","Pay-as-you-go + Subscription (Standard/Enterprise/Enterprise Plus); no 'Enterprise Plus Plus' exists",https://cloud.google.com/apigee/pricing,2026-05-16,"Fabricated tier; omits pay-as-you-go, the standard entry path today","Replace table with the real two-model structure"
Apigee Atlas,pricing model framing,P1,"calls/day capacity tiers 1M/10M/100M/250M","invented — Apigee subscription tiers are not publicly bucketed by calls/day",https://cloud.google.com/apigee/pricing,2026-05-16,"Invented model drives an invented tier table and cost gotcha","Reword: subscription is capacity-based (not publicly bucketed); pay-as-you-go is per-call"
Apigee Atlas + APIM Matrix,FedRAMP level,P1,"FedRAMP Moderate","FedRAMP High (data-residency-enabled orgs)",https://cloud.google.com/apigee/docs/api-platform/get-started/drz-concepts,2026-05-16,"Understates compliance posture — would wrongly disqualify Apigee for High-baseline federal workloads","Change compare card + matrix `fedramp` cell to 'FedRAMP High'"
Apigee Atlas,built-in policy count,P2,"~70 policies","~86 policy types (incl. 6 AI/LLM policies)",https://docs.cloud.google.com/apigee/docs/api-platform/reference/policies/reference-overview-policy,2026-05-16,"Understates the library; misses the AI policy family, a current selling point","Change to '~85'; add AI-policy row"
Apigee Atlas,KVM scoping,P2,"environment- or org-scoped","org-, environment-, AND apiproxy-scoped",https://cloud.google.com/apigee/docs/api-platform/cache/key-value-maps,2026-05-16,"Page topic is KVMs; omits a full scope level (apiproxy = per-proxy isolation)","Add apiproxy scope"
Apigee Atlas,Evaluation trial length,P2,"~180-day trial","60-day trial",https://cloud.google.com/apigee/pricing,2026-05-16,"3x overstates the free evaluation window; misleads POC planning","Change to '60-day trial'"
Apigee Atlas,Standard tier indicative cost,P2,"~$25k/yr","~$6k/yr list (~$500/mo, 15M calls/mo)",https://cloud.google.com/apigee/pricing,2026-05-16,"Overstates Standard entry cost ~4x","Correct to ~$6k/yr list; note real deals negotiated"
Apigee Atlas,policy-table kicker,P3,"The 40 you actually use","table lists 17 policy rows",internal inconsistency,2026-05-16,"Kicker contradicts the table and the lead","Change kicker to 'The 17 you actually use'"
APIM Matrix,Apigee self-hosted note,P2,"Edge legacy fully on-prem (sunsetting)","Classic UI shut 2025-11-02; Edge Private Cloud v4.53.01 EOL 2027-02-27",https://docs.cloud.google.com/apigee/docs/deprecations/apigee-classic-ui,2026-05-16,"'(sunsetting)' is vague/undated in a matrix that brands on precise footnotes","Cite concrete EOL dates"
APIM Matrix,Apigee mtls cell note,P1,"TwoWaySSL on northbound (X)","editing artifact — '(X)' should read 'on Apigee X'",https://cloud.google.com/apigee/docs/api-platform/system-administration/options-configuring-tls,2026-05-16,"Bare '(X)' looks like broken/missing data in a published matrix","Replace '(X)' with 'on Apigee X'"
AWS API Gateway Atlas,REST integration timeout,P1,"29s hard limit — no way longer (REST)","default 29s but adjustable soft quota since 2024-06 for Regional/Private REST APIs",https://aws.amazon.com/about-aws/whats-new/2024/06/amazon-api-gateway-integration-timeout-limit-29-seconds/,2026-05-16,"The page's core 'gotcha' is ~2 years stale; readers architect async workarounds they no longer need","Mark 29s as adjustable default soft quota (Regional/Private); HTTP API 30s stays hard"
AWS API Gateway Atlas,REST request pricing tiers,P1,"tiered down to $1.51 above 20B","published tiers: $3.50 (first 333M) / $2.80 (next 667M) / $2.38 (over 1B); no $1.51 or 20B threshold",https://aws.amazon.com/api-gateway/pricing/,2026-05-16,"Fabricated numbers not in AWS pricing — misleads high-volume cost modeling","Correct to the published tier rates"
APIM Matrix,AWS mtls cell,P1,"Custom domain mTLS only ... HTTP API since 2021","REST APIs also support custom-domain mTLS (GA Sep 2020); not on private APIs",https://docs.aws.amazon.com/apigateway/latest/developerguide/rest-api-mutual-tls.html,2026-05-16,"Implies mTLS is HTTP-API-only — readers on REST APIs wrongly conclude they cannot do mTLS","Rewrite note to cover Regional REST + HTTP APIs"
APIM Matrix,AWS retry cell,P1,"yes","AWS has no native gateway retry-with-backoff policy (Apigee marked `part` for the same gap)",https://docs.aws.amazon.com/apigateway/latest/developerguide/api-gateway-execution-service-limits-table.html,2026-05-16,"Inconsistent scoring — same capability gap scored `yes` for AWS, `part` for Apigee","Change AWS retry to `part`"
APIM Matrix,AWS free-tier note,P2,"1M REST calls/mo free for 12 months","partly stale — accounts created on/after 2025-07-15 use a credit-based Free Tier ($200, 6-month free plan)",https://aws.amazon.com/api-gateway/pricing/,2026-05-16,"Free-tier mechanics changed mid-2025; a 2026 snapshot stating only the old model misleads new sign-ups","Update note to cover both regimes"
APIM Matrix,Kong oauth-ac cell,P1,"oauth2 plugin (Enterprise)","oauth2 is a free OSS core plugin supporting authorization_code; contradicts the adjacent oauth-cc row which says 'OSS + Enterprise'",https://developer.konghq.com/plugins/oauth2/,2026-05-16,"Wrong tier on a gating-sensitive cell; self-contradictory — misleads anyone sizing OSS vs Enterprise","Change Kong oauth-ac note to 'oauth2 plugin (OSS + Enterprise)'"
Mulesoft Atlas,Flex Replica SKU,P1,"'Flex Replica' used as the CloudHub 2.0 pricing unit (masthead, cards, pricing/migration tables, pros/cons)","CloudHub 2.0 deploys by 'replica' (vCore-equivalent); 'Flex' belongs to Flex Gateway — no MuleSoft doc uses 'Flex Replica'",https://docs.mulesoft.com/cloudhub-2/ch2-architecture,2026-05-16,"Non-existent SKU conflates CloudHub 2.0 with a separate product","Rename throughout to 'replica' / 'CloudHub 2.0 replica'"
Mulesoft Atlas,connector count,P2,"~300 connectors","500+ across the ecosystem; 250+ in Anypoint Exchange",https://www.mulesoft.com/platform/cloud-connectors,2026-05-16,"Understates a primary buying reason for MuleSoft","Update to 'hundreds of connectors' / '500+'"
Mulesoft Atlas,vCore indicative cost,P3-unverified,"~$5k-$50k/yr per vCore","low end (~$5k) uncorroborated; MuleSoft publishes no public list price",https://docs.mulesoft.com/general/pricing,2026-05-16,"Low end not supported by any source","Label as negotiated estimate / widen range"
APIM Matrix,Kong mtls-auth / opa / jwt / canary cells,OK,"Enterprise/OSS tiers as stated","correct per Kong plugin docs",https://developer.konghq.com/plugins/mtls-auth/,2026-05-16,"Spot-checks pass","None"
APIM Matrix,Azure mtls + synthetic GraphQL cells,OK,"as stated","correct per Azure docs",https://learn.microsoft.com/en-us/azure/api-management/validate-client-certificate-policy,2026-05-16,"Spot-checks pass","None"
